author	authorLabel
http://www.wikidata.org/entity/Q312314	Bruno of Cologne
http://www.wikidata.org/entity/Q994039	Bruno the Saxon
http://www.wikidata.org/entity/Q994757	Bruttedius Niger
http://www.wikidata.org/entity/Q2927945	Bulgar de Bulgaran
http://www.wikidata.org/entity/Q88016864	Burchard of Reichenau
http://www.wikidata.org/entity/Q62668	Burchard of Worms
http://www.wikidata.org/entity/Q85689860	Burchardus of Bellevaux
http://www.wikidata.org/entity/Q647314	Byrhtferth
http://www.wikidata.org/entity/Q66384729	Caecilius Balbus
http://www.wikidata.org/entity/Q350781	Caecilius Statius
http://www.wikidata.org/entity/Q2514828	Caelius Aurelianus
http://www.wikidata.org/entity/Q649722	Caesar of Heisterbach
http://www.wikidata.org/entity/Q304832	Caesarius of Arles
http://www.wikidata.org/entity/Q2441699	Caius
http://www.wikidata.org/entity/Q729244	Calcidius
http://www.wikidata.org/entity/Q85512060	Candidus Arianus
http://www.wikidata.org/entity/Q5490755	Canius Rufus
http://www.wikidata.org/entity/Q85512065	Cappidus of Stavoren
http://www.wikidata.org/entity/Q984681	Carl Gustaf af Leopold
http://www.wikidata.org/entity/Q21543928	Carlo Emmanuele Vizzani
http://www.wikidata.org/entity/Q1221013	Cassianus Bassus
http://www.wikidata.org/entity/Q192365	Cassiodorus
http://www.wikidata.org/entity/Q644086	Cassius Felix
http://www.wikidata.org/entity/Q709941	Cassius Severus
http://www.wikidata.org/entity/Q89121619	Castellano da Bassano
http://www.wikidata.org/entity/Q180081	Cato the Elder
http://www.wikidata.org/entity/Q193506	Cato the Younger
http://www.wikidata.org/entity/Q163079	Catullus
http://www.wikidata.org/entity/Q1107869	Celio Calcagnini
http://www.wikidata.org/entity/Q707449	Censorinus
http://www.wikidata.org/entity/Q1054504	Ceolfrith
http://www.wikidata.org/entity/Q1001949	Charisius
http://www.wikidata.org/entity/Q2471187	Charles Rollin
http://www.wikidata.org/entity/Q1066534	Charles de Bovelles
http://www.wikidata.org/entity/Q1082561	Christian of Stavelot
http://www.wikidata.org/entity/Q861511	Chrodegang
http://www.wikidata.org/entity/Q774567	Chromatius
http://www.wikidata.org/entity/Q1541	Cicero
http://www.wikidata.org/entity/Q2855302	Cincius
http://www.wikidata.org/entity/Q205947	Claudian
http://www.wikidata.org/entity/Q782074	Claudianus Mamertus
http://www.wikidata.org/entity/Q1411	Claudius
http://www.wikidata.org/entity/Q3284978	Claudius Mamertinus
http://www.wikidata.org/entity/Q2978575	Claudius Marius Victorius
http://www.wikidata.org/entity/Q922068	Claudius of Turin
http://www.wikidata.org/entity/Q747578	Cledonius
http://www.wikidata.org/entity/Q3680565	Cleto Pavanetto
http://www.wikidata.org/entity/Q538564	Coelius Sedulius
http://www.wikidata.org/entity/Q536943	Cogitosus
http://www.wikidata.org/entity/Q319653	Columbanus
http://www.wikidata.org/entity/Q85512082	Columbanus of Saint-Trond
http://www.wikidata.org/entity/Q318317	Columella
http://www.wikidata.org/entity/Q1115768	Commodian
http://www.wikidata.org/entity/Q2994436	Consentius
http://www.wikidata.org/entity/Q64941943	Consentius
http://www.wikidata.org/entity/Q76743	Constantin von Tischendorf
http://www.wikidata.org/entity/Q468641	Constantine the African
http://www.wikidata.org/entity/Q363827	Constantius of Lyon
http://www.wikidata.org/entity/Q17294873	Consultus Fortunatianus
http://www.wikidata.org/entity/Q266239	Corippus
http://www.wikidata.org/entity/Q234533	Cornelia
http://www.wikidata.org/entity/Q1133728	Cornelius Bocchus
http://www.wikidata.org/entity/Q1133783	Cornelius Epicadus
http://www.wikidata.org/entity/Q1133857	Cornelius Labeo
http://www.wikidata.org/entity/Q109594	Cornelius Nepos
http://www.wikidata.org/entity/Q1133958	Cornelius Severus
http://www.wikidata.org/entity/Q1134021	Cornelius a Lapide
http://www.wikidata.org/entity/Q1245175	Cornificia
http://www.wikidata.org/entity/Q1243817	Cornificius
http://www.wikidata.org/entity/Q85512099	Coronatus Notarius
http://www.wikidata.org/entity/Q711964	Cristoforo Landino
http://www.wikidata.org/entity/Q5194153	Cumméne Fota
http://www.wikidata.org/entity/Q504518	Cuthbert
http://www.wikidata.org/entity/Q190240	Cyprian
http://www.wikidata.org/entity/Q899826	Cyprianus
http://www.wikidata.org/entity/Q64900798	Cyprianus of Cordoba
http://www.wikidata.org/entity/Q22582502	Dado
http://www.wikidata.org/entity/Q85512124	Dagulfus
http://www.wikidata.org/entity/Q130997	Damasus I
http://www.wikidata.org/entity/Q1404942	Damian of Pavia
http://www.wikidata.org/entity/Q102878151	Dancus
http://www.wikidata.org/entity/Q4224038	Daniel Clocow
http://www.wikidata.org/entity/Q1067	Dante Alighieri
http://www.wikidata.org/entity/Q544378	Dares Phrygius
http://www.wikidata.org/entity/Q67222	David Ruhnken
http://www.wikidata.org/entity/Q1215347	Decimus Iunius Silanus
http://www.wikidata.org/entity/Q1181859	Decimus Laberius
http://www.wikidata.org/entity/Q19894737	Demetrio Canevari
http://www.wikidata.org/entity/Q585422	Dezallier d'Argenville
http://www.wikidata.org/entity/Q85512133	Diarmait
http://www.wikidata.org/entity/Q475001	Dictys Cretensis
http://www.wikidata.org/entity/Q905114	Dicuil
http://www.wikidata.org/entity/Q74332	Dietrich of Nieheim
http://www.wikidata.org/entity/Q3157540	Diogo Pires
http://www.wikidata.org/entity/Q1226908	Diomedes Grammaticus
http://www.wikidata.org/entity/Q3028750	Dionysius Cato
http://www.wikidata.org/entity/Q274091	Dionysius Exiguus
http://www.wikidata.org/entity/Q8809	Domitius Marsus
http://www.wikidata.org/entity/Q3713864	Donizo of Canossa
http://www.wikidata.org/entity/Q5298821	Dorsennus
http://www.wikidata.org/entity/Q987125	Dositheus Magister
http://www.wikidata.org/entity/Q885446	Dracontius
http://www.wikidata.org/entity/Q19833761	Drogon
http://www.wikidata.org/entity/Q609201	Dungal of Bobbio
http://www.wikidata.org/entity/Q190089	Duns Scotus
http://www.wikidata.org/entity/Q332130	Dunstan
http://www.wikidata.org/entity/Q3041516	Durand of Huesca
http://www.wikidata.org/entity/Q11917197	Dynamius
http://www.wikidata.org/entity/Q819901	Ebbo
http://www.wikidata.org/entity/Q85512149	Eberhard of Tegernsee
http://www.wikidata.org/entity/Q85512151	Eberwin of Trier
http://www.wikidata.org/entity/Q3049131	Ecgbert
http://www.wikidata.org/entity/Q5343193	Edward Grim
http://www.wikidata.org/entity/Q550353	Egidio Forcellini
http://www.wikidata.org/entity/Q96439900	Egidio Gallo
http://www.wikidata.org/entity/Q316534	Eigil of Fulda
http://www.wikidata.org/entity/Q154526	Einhard
http://www.wikidata.org/entity/Q686169	Ekkehard IV
http://www.wikidata.org/entity/Q66673	Ekkehard of Aura
http://www.wikidata.org/entity/Q1848481	Eleutherius of Tournai
http://www.wikidata.org/entity/Q605295	Elio Lampridio Cerva
http://www.wikidata.org/entity/Q3051128	Eliseo Calenzio
http://www.wikidata.org/entity/Q47130	Ennius
http://www.wikidata.org/entity/Q43499	Erasmus
http://www.wikidata.org/entity/Q68091	Erasmus Alberus
http://www.wikidata.org/entity/Q749487	Erchempert
http://www.wikidata.org/entity/Q1354979	Erchenbald of Strasbourg
http://www.wikidata.org/entity/Q4962054	Erika Liebman
http://www.wikidata.org/entity/Q949224	Ermengol VII, Count of Urgell
http://www.wikidata.org/entity/Q1232314	Ermenric of Ellwangen
http://www.wikidata.org/entity/Q362491	Ermoldus Nigellus
http://www.wikidata.org/entity/Q671419	Eucherius of Lyon
http://www.wikidata.org/entity/Q16835817	Eucolpius
http://www.wikidata.org/entity/Q41149759	Eudes de Saint-Maur
http://www.wikidata.org/entity/Q1217684	Eudes de Sully
http://www.wikidata.org/entity/Q596910	Eugenius III of Toledo
http://www.wikidata.org/entity/Q738491	Eugippius
http://www.wikidata.org/entity/Q246000	Eulogius of Córdoba
http://www.wikidata.org/entity/Q18214704	Eusebius Gallicanus
http://www.wikidata.org/entity/Q2781945	Eusebius of Angers
http://www.wikidata.org/entity/Q24013788	Eusebius of Cremona
http://www.wikidata.org/entity/Q88023746	Eustochius of Angers
http://www.wikidata.org/entity/Q314694	Eutropius
http://www.wikidata.org/entity/Q48772589	Eutropius the Lombard
http://www.wikidata.org/entity/Q31093484	Evagrius Gallus
http://www.wikidata.org/entity/Q88023278	Evantius of Troclar
http://www.wikidata.org/entity/Q932714	Fabius Planciades Fulgentius
http://www.wikidata.org/entity/Q2626977	Facundus of Hermiane
http://www.wikidata.org/entity/Q11697706	Fastidius of Britain
http://www.wikidata.org/entity/Q5856794	Faustinus Luciferianus
http://www.wikidata.org/entity/Q2351792	Faustus of Riez
http://www.wikidata.org/entity/Q1398914	Favonius Eulogius
http://www.wikidata.org/entity/Q554387	Favorinus
http://www.wikidata.org/entity/Q5442387	Felix of Ravenna
http://www.wikidata.org/entity/Q94440464	Ferdinando Porretti
http://www.wikidata.org/entity/Q2506510	Ferréol of Uzès
http://www.wikidata.org/entity/Q99365045	Fidentius of Padua
http://www.wikidata.org/entity/Q223615	Flavius Caper
http://www.wikidata.org/entity/Q4485272	Flavius Felix
http://www.wikidata.org/entity/Q66133212	Flavius Theodorus
http://www.wikidata.org/entity/Q3074346	Florus of Lyon
http://www.wikidata.org/entity/Q1435318	Folcuin of Lobbes
http://www.wikidata.org/entity/Q16115490	Fran Trankvil Andreis
http://www.wikidata.org/entity/Q655618	Francesco Berni
http://www.wikidata.org/entity/Q41569098	Francesco Dal Pozzo
http://www.wikidata.org/entity/Q109876774	Francesco Simoneschi
http://www.wikidata.org/entity/Q3081125	Francesco da Fiano
http://www.wikidata.org/entity/Q676555	Francis of Assisi
http://www.wikidata.org/entity/Q64168468	Francisco Alfonso
http://www.wikidata.org/entity/Q99836778	Francisco Antônio de Almeida Júnior
http://www.wikidata.org/entity/Q5483983	Francisco Sánchez Barbero
http://www.wikidata.org/entity/Q1366054	Franciszek Dionizy Kniaźnin
http://www.wikidata.org/entity/Q1442683	Franco of Liège
http://www.wikidata.org/entity/Q443861	Frang Bardhi
